"Enable Permissions","Enable Permissions"
"Permissions are currently disabled. To enable permissions, go to ""System > Configuration > Bubble CmsTree > General Settings"".","Permissions are currently disabled. To enable permissions, go to ""System > Configuration > Bubble CmsTree > General Settings""."
"An error occurred while saving permissions.","An error occurred while saving permissions."
"Permissions have been successfully saved.","Permissions have been successfully saved."
"Manage Content Permissions","Manage Content Permissions"
"Save Permissions","Save Permissions"
"Pages Permissions","Pages Permissions"
"Choose Customer Group","Choose Customer Group"
"Please confirm customer group switching. All data that hasn't been saved will be lost.","Please confirm customer group switching. All data that hasn't been saved will be lost."
"Permissions","Permissions"
"Manage Content","Manage Content"
"Manage Permissions","Manage Permissions"
"URL Key","URL Key"
"Include in Navigation Menu","Include in Navigation Menu"
"Will be ignored if global config is set to ""No"", which is default value.","Will be ignored if global config is set to ""No"", which is default value."
"Leave blank for automatic generation.<br />URL is relative to parent URL. Current URL: %s","Leave blank for automatic generation.<br />URL is relative to parent URL. Current URL: %s"
"General Settings","General Settings"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Include Pages in Navigation Menu","Include Pages in Navigation Menu"
"Add Page","Add Page"
"Save Page","Save Page"
"Page Title","Page Title"
"Status","Status"
"Yes","Yes"
"No","No"
"Enabled","Enabled"
"Disabled","Disabled"
"Content","Content"
"Meta Data","Meta Data"
"Collapse All","Collapse All"
"Expand All","Expand All"
"Page Information","Page Information"
"Content Heading","Content Heading"
"Show / Hide Editor","Show / Hide Editor"
"Keywords","Keywords"
"Description","Description"
"Page Layout","Page Layout"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Custom Theme","Custom Theme"
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout","Custom Layout"
"Custom Layout Update XML","Custom Layout Update XML"
"Store View","Store View"
"Edit Page '%s'","Edit Page '%s'"
"New Page","New Page"
"Bubble CmsTree allows you to manage CMS pages as a tree structure.","Bubble CmsTree allows you to manage CMS pages as a tree structure."
"Supports pages permissions, drag & drop, 301 redirects, shared pages and frontend navigation.","Supports pages permissions, drag & drop, 301 redirects, shared pages and frontend navigation."
"CMS Page Children","CMS Page Children"
"List of current CMS page children.","List of current CMS page children."
"Title","Title"
"Title to display before children list.","Title to display before children list."
"Number of Levels","Number of Levels"
"Number of levels to display (empty means unlimited).","Number of levels to display (empty means unlimited)."
"CSS Class","CSS Class"
"Will be added to the list container element.","Will be added to the list container element."
"CMS Not Allowed Page","CMS Not Allowed Page"
"The user will be redirected to this page if he does not have access to a CMS page.","The user will be redirected to this page if he does not have access to a CMS page."
"CMS Page","CMS Page"
"Show Top Page","Show Top Page"
"Will show top level page name (specified page above or current CMS page).","Will show top level page name (specified page above or current CMS page)."
"Duplicate To...","Duplicate To..."
"Duplicate Options","Duplicate Options"
"Include Children","Include Children"
"Store Destination","Store Destination"
"The page has been duplicated.","The page has been duplicated."
"An error occurred while duplicating the page.","An error occurred while duplicating the page."
" (copy)"," (copy)"
"Preview Page","Preview Page"
"Versions","Versions"
"Version Id","Version Id"
"Restore","Restore"
"This will load this version into current page without saving it. Continue?","This will load this version into current page without saving it. Continue?"
"Preview","Preview"
"Delete","Delete"
"Are you sure?","Are you sure?"
"The version has been loaded successfully.","The version has been loaded successfully."
"Unable to find a version to restore.","Unable to find a version to restore."
"Unable to find a version to preview.","Unable to find a version to preview."
"The version has been deleted.","The version has been deleted."
"Unable to find a version to delete.","Unable to find a version to delete."
"Confirm When Switching Store","Confirmer le changement de vue magasin"
"Page URL Suffix","Suffixe des URLs"
"For example: .html","Par exemple : .html"
"Redirect Non-Suffixed URL","Redirect Non-Suffixed URL"
"If a page URL is requested without the configured suffix, a 302 redirection will be made to avoid possible duplicate content.","If a page URL is requested without the configured suffix, a 302 redirection will be made to avoid possible duplicate content."
